Date,Open,High,Low,Close,Adj Close,Volume,dIndex,logClose,rtnClose,vol,vol_1,vol_ma_5,vol_ma_21
9/30/13,1687.26001,1687.26001,1674.98999,1681.550049,1681.550049,3308630000,-5.709961,7.427471295,,1.92E-05,,,
10/01/13,1682.410034,1696.550049,1682.069946,1695,1695,3238690000,12.589966,7.43543802,0.007966725,2.65E-05,1.92E-05,,
10/02/13,1691.900024,1693.869995,1680.339966,1693.869995,1693.869995,3148600000,1.969971,7.434771128,-0.000666892,2.32E-05,2.65E-05,,
10/03/13,1692.349976,1692.349976,1670.359985,1678.660034,1678.660034,3279650000,-13.689942,7.425751155,-0.009019973,6.17E-05,2.32E-05,,
10/04/13,1678.790039,1691.939941,1677.329956,1690.5,1690.5,2880270000,11.709961,7.432779622,0.007028467,2.71E-05,6.17E-05,,
10/07/13,1687.150024,1687.150024,1674.699951,1676.119995,1676.119995,2678490000,-11.030029,7.424236875,-0.008542748,1.98E-05,2.71E-05,3.15E-05,
10/08/13,1676.219971,1676.790039,1655.030029,1655.449951,1655.449951,3569230000,-20.77002,7.411828125,-0.01240875,6.15E-05,1.98E-05,3.17E-05,
10/09/13,1656.98999,1662.469971,1646.469971,1656.400024,1656.400024,3577840000,-0.589966,7.412401866,0.000573742,3.37E-05,6.15E-05,3.87E-05,
10/10/13,1660.880005,1692.560059,1660.880005,1692.560059,1692.560059,3362300000,31.680054,7.43399749,0.021595623,0.000128763,3.37E-05,4.08E-05,
10/11/13,1691.089966,1703.439941,1688.52002,1703.199951,1703.199951,2944670000,12.109985,7.440264085,0.006266595,2.79E-05,0.000128763,5.42E-05,
10/14/13,1699.859985,1711.030029,1692.130005,1710.140015,1710.140015,2580580000,10.28003,7.444330526,0.004066441,4.45E-05,2.79E-05,5.43E-05,
10/15/13,1709.170044,1711.569946,1695.930054,1698.060059,1698.060059,3327740000,-11.109985,7.437241737,-0.00708879,3.04E-05,4.45E-05,5.93E-05,
10/16/13,1700.48999,1721.76001,1700.48999,1721.540039,1721.540039,3486180000,21.050049,7.450974541,0.013732804,5.57E-05,3.04E-05,5.31E-05,
10/17/13,1720.170044,1733.449951,1714.119995,1733.150024,1733.150024,3453590000,12.97998,7.457695855,0.006721314,4.54E-05,5.57E-05,5.75E-05,
10/18/13,1736.719971,1745.310059,1735.73999,1744.5,1744.5,3664890000,7.780029,7.464223261,0.006527406,1.09E-05,4.54E-05,4.08E-05,
10/21/13,1745.199951,1747.790039,1740.670044,1744.660034,1744.660034,3052710000,-0.539917,7.464314993,9.17E-05,6.01E-06,1.09E-05,3.74E-05,
10/22/13,1746.47998,1759.329956,1746.47998,1754.670044,1754.670044,3850840000,8.190064,7.470036109,0.005721116,1.94E-05,6.01E-06,2.97E-05,
10/23/13,1752.27002,1752.27002,1740.5,1746.380005,1746.380005,3713380000,-5.890015,7.465300356,-0.004735753,1.64E-05,1.94E-05,2.75E-05,
10/24/13,1747.47998,1753.939941,1745.5,1752.069946,1752.069946,3671700000,4.589966,7.468553194,0.003252838,8.39E-06,1.64E-05,1.96E-05,
10/25/13,1756.01001,1759.819946,1752.449951,1759.77002,1759.77002,3175720000,3.76001,7.472938409,0.004385215,6.35E-06,8.39E-06,1.22E-05,
10/28/13,1759.420044,1764.98999,1757.670044,1762.109985,1762.109985,3282300000,2.689941,7.474267225,0.001328816,6.23E-06,6.35E-06,1.13E-05,
10/29/13,1762.930054,1772.089966,1762.930054,1771.949951,1771.949951,3358460000,9.019897,7.479835886,0.005568661,9.69E-06,6.23E-06,1.13E-05,3.23E-05
10/30/13,1772.27002,1775.219971,1757.23999,1763.310059,1763.310059,3523040000,-8.959961,7.474948037,-0.004887849,3.74E-05,9.69E-06,9.41E-06,3.19E-05
10/31/13,1763.23999,1768.530029,1755.719971,1756.540039,1756.540039,3826530000,-6.699951,7.471101266,-0.003846771,1.91E-05,3.74E-05,1.36E-05,3.24E-05
11/01/13,1758.699951,1765.670044,1752.699951,1761.640015,1761.640015,3686290000,2.940064,7.474000481,0.002899215,1.96E-05,1.91E-05,1.57E-05,3.22E-05
11/04/13,1763.400024,1768.780029,1761.560059,1767.930054,1767.930054,3194870000,4.53003,7.47756468,0.003564199,6.03E-06,1.96E-05,1.84E-05,3.02E-05
11/05/13,1765.670044,1767.030029,1755.76001,1762.969971,1762.969971,3516680000,-2.700073,7.474755149,-0.002809531,1.48E-05,6.03E-06,1.84E-05,2.92E-05
11/06/13,1765,1773.73999,1764.400024,1770.48999,1770.48999,3322100000,5.48999,7.479011618,0.004256468,1.01E-05,1.48E-05,1.94E-05,2.90E-05
11/07/13,1770.73999,1774.540039,1746.199951,1747.150024,1747.150024,4143200000,-23.589966,7.465741182,-0.013270436,9.35E-05,1.01E-05,1.39E-05,2.65E-05
11/08/13,1748.369995,1770.780029,1747.630005,1770.609985,1770.609985,3837170000,22.23999,7.47907939,0.013338209,6.25E-05,9.35E-05,2.88E-05,2.94E-05
11/11/13,1769.959961,1773.439941,1767.849976,1771.890015,1771.890015,2534060000,1.930054,7.479802061,0.00072267,3.59E-06,6.25E-05,3.74E-05,2.62E-05
11/12/13,1769.51001,1771.780029,1762.290039,1767.689941,1767.689941,3221030000,-1.820069,7.477428855,-0.002373206,1.04E-05,3.59E-06,3.69E-05,2.50E-05
11/13/13,1764.369995,1782,1760.640015,1782,1782,3327480000,17.630005,7.485491608,0.008062753,5.24E-05,1.04E-05,3.60E-05,2.34E-05
11/14/13,1782.75,1791.530029,1780.219971,1790.619995,1790.619995,3139060000,7.869995,7.490317205,0.004825597,1.45E-05,5.24E-05,4.45E-05,2.45E-05
11/15/13,1790.660034,1798.219971,1790.660034,1798.180054,1798.180054,3254820000,7.52002,7.494530351,0.004213147,6.40E-06,1.45E-05,2.87E-05,2.25E-05
11/18/13,1798.819946,1802.329956,1788,1791.530029,1791.530029,3168520000,-7.289917,7.490825299,-0.003705053,2.30E-05,6.40E-06,1.75E-05,2.06E-05
11/19/13,1790.790039,1795.51001,1784.719971,1787.869995,1787.869995,3224450000,-2.920044,7.488780243,-0.002045055,1.31E-05,2.30E-05,2.13E-05,2.12E-05
11/20/13,1789.589966,1795.72998,1777.22998,1781.369995,1781.369995,3109140000,-8.219971,7.485138007,-0.003642236,3.87E-05,1.31E-05,2.19E-05,2.16E-05
11/21/13,1783.52002,1797.160034,1783.52002,1795.849976,1795.849976,3256630000,12.329956,7.493233713,0.008095706,2.09E-05,3.87E-05,1.91E-05,2.25E-05
11/22/13,1797.209961,1804.839966,1794.699951,1804.76001,1804.76001,3055140000,7.550049,7.498182903,0.00494919,1.14E-05,2.09E-05,2.04E-05,2.27E-05
11/25/13,1806.329956,1808.099976,1800.579956,1802.47998,1802.47998,2998540000,-3.849976,7.496918762,-0.001264141,6.26E-06,1.14E-05,2.14E-05,2.28E-05
11/26/13,1802.869995,1808.420044,1800.77002,1802.75,1802.75,3427120000,-0.119995,7.497068556,0.000149793,6.48E-06,6.26E-06,1.81E-05,2.28E-05
11/27/13,1803.47998,1808.27002,1802.77002,1807.22998,1807.22998,2613590000,3.75,7.499550554,0.002481998,3.35E-06,6.48E-06,1.68E-05,2.28E-05
11/29/13,1808.689941,1813.550049,1803.97998,1805.810059,1805.810059,1598300000,-2.879882,7.498764556,-0.000785998,1.01E-05,3.35E-06,9.70E-06,2.25E-05
12/02/13,1806.550049,1810.02002,1798.599976,1800.900024,1800.900024,3095430000,-5.650025,7.496041832,-0.002722724,1.44E-05,1.01E-05,7.53E-06,2.12E-05
12/03/13,1800.099976,1800.099976,1787.849976,1795.150024,1795.150024,3475680000,-4.949952,7.492843876,-0.003197956,1.68E-05,1.44E-05,8.13E-06,2.10E-05
12/04/13,1793.150024,1799.800049,1779.089966,1792.810059,1792.810059,3610540000,-0.339965,7.491539533,-0.001304343,4.83E-05,1.68E-05,1.02E-05,2.09E-05
12/05/13,1792.819946,1792.819946,1783.380005,1785.030029,1785.030029,3336880000,-7.789917,7.487190517,-0.004349016,1.01E-05,4.83E-05,1.86E-05,2.29E-05
12/06/13,1788.359985,1806.040039,1788.359985,1805.089966,1805.089966,3150030000,16.729981,7.498365712,0.011175195,3.49E-05,1.01E-05,1.99E-05,2.27E-05
12/09/13,1806.209961,1811.52002,1806.209961,1808.369995,1808.369995,3129500000,2.160034,7.500181163,0.001815451,3.11E-06,3.49E-05,2.49E-05,2.39E-05
12/10/13,1807.599976,1808.52002,1801.75,1802.619995,1802.619995,3117150000,-4.979981,7.496996438,-0.003184725,5.07E-06,3.11E-06,2.26E-05,1.96E-05
12/11/13,1802.76001,1802.969971,1780.089966,1782.219971,1782.219971,3472240000,-20.540039,7.485615041,-0.011381397,5.88E-05,5.07E-06,2.03E-05,1.68E-05
